0	3.945	10.108
1	3.230	21.282
2	2.779	29.772
3	2.424	36.726
4	2.128	42.930
5	1.884	48.232
6	1.703	52.552
7	1.558	55.928
8	1.442	58.678
9	1.328	61.850
10	1.238	63.922
11	1.166	65.848
12	1.095	67.610
13	1.037	69.194
14	0.983	70.574
15	0.933	71.742
16	0.888	73.224
17	0.851	74.128
18	0.810	75.226
19	0.799	75.660
20	0.758	76.796
21	0.729	77.494
22	0.714	78.070
23	0.688	78.606
24	0.659	79.672
25	0.650	79.682
26	0.624	80.538
27	0.604	81.256
28	0.616	80.708
29	0.583	81.818
30	0.328	90.140
31	0.206	94.310
32	0.170	95.440
33	0.147	96.088
34	0.129	96.676
35	0.114	97.224
36	0.101	97.650
37	0.089	98.012
38	0.082	98.146
39	0.073	98.436
40	0.067	98.698
41	0.061	98.788
42	0.056	99.000
43	0.052	99.034
44	0.048	99.196
45	0.044	99.286
46	0.042	99.250
47	0.040	99.366
48	0.036	99.494
49	0.033	99.592
50	0.033	99.556
51	0.032	99.582
52	0.029	99.678
53	0.028	99.632
54	0.026	99.694
55	0.025	99.688
56	0.024	99.772
57	0.023	99.768
58	0.022	99.792
59	0.021	99.776
60	0.019	99.866
61	0.018	99.842
62	0.019	99.810
63	0.018	99.874
64	0.018	99.864
65	0.017	99.870
66	0.018	99.844
67	0.017	99.876
68	0.017	99.880
69	0.016	99.888
70	0.016	99.904
71	0.017	99.862
72	0.016	99.886
73	0.016	99.884
74	0.016	99.900
75	0.016	99.898
76	0.016	99.912
77	0.016	99.912
78	0.016	99.894
79	0.016	99.924
80	0.015	99.916
81	0.016	99.904
82	0.015	99.912
83	0.015	99.894
84	0.015	99.888
85	0.016	99.880
86	0.016	99.900
87	0.015	99.898
88	0.015	99.924
89	0.015	99.888
90	0.015	99.906
91	0.016	99.868
92	0.015	99.920
93	0.015	99.924
94	0.015	99.896
95	0.015	99.914
96	0.015	99.898
97	0.015	99.904
98	0.014	99.926
99	0.015	99.920
100	0.015	99.906
101	0.015	99.916
102	0.015	99.914
103	0.015	99.930
104	0.015	99.904
105	0.015	99.926
106	0.015	99.914
107	0.015	99.896
108	0.015	99.910
109	0.015	99.916
110	0.015	99.918
111	0.015	99.912
112	0.015	99.910
113	0.015	99.906
114	0.014	99.926
115	0.014	99.908
116	0.015	99.910
117	0.015	99.922
118	0.014	99.924
119	0.015	99.920
120	0.015	99.932
121	0.014	99.920
122	0.015	99.916
123	0.015	99.904
124	0.015	99.910
125	0.015	99.908
126	0.015	99.926
127	0.015	99.912
128	0.015	99.904
129	0.015	99.902
130	0.015	99.910
131	0.014	99.924
132	0.015	99.914
133	0.014	99.946
134	0.015	99.926
135	0.014	99.926
136	0.015	99.898
137	0.014	99.922
138	0.015	99.916
139	0.015	99.924
140	0.015	99.912
141	0.015	99.908
142	0.015	99.936
143	0.015	99.938
144	0.015	99.908
145	0.014	99.918
146	0.015	99.920
147	0.015	99.902
148	0.015	99.906
149	0.015	99.940
