0	4.126	9.088
1	3.361	18.982
2	2.937	26.564
3	2.589	33.324
4	2.287	39.422
5	2.068	44.350
6	1.864	48.812
7	1.704	52.494
8	1.580	55.772
9	1.461	58.724
10	1.372	60.662
11	1.298	62.430
12	1.226	64.226
13	1.147	66.330
14	1.103	67.730
15	1.052	69.242
16	0.989	70.612
17	0.974	71.098
18	0.929	72.368
19	0.883	73.188
20	0.850	74.388
21	0.831	74.908
22	0.801	75.518
23	0.785	76.164
24	0.757	76.814
25	0.730	77.610
26	0.723	77.740
27	0.701	78.330
28	0.687	78.922
29	0.667	79.426
30	0.651	79.898
31	0.637	80.216
32	0.624	80.706
33	0.623	80.602
34	0.610	80.960
35	0.581	81.948
36	0.574	82.102
37	0.570	82.416
38	0.568	82.138
39	0.555	82.516
40	0.544	83.052
41	0.535	83.314
42	0.515	83.804
43	0.502	84.322
44	0.511	83.828
45	0.494	84.540
46	0.493	84.586
47	0.489	84.696
48	0.477	84.992
49	0.475	84.894
50	0.460	85.558
51	0.463	85.436
52	0.451	85.932
53	0.448	85.954
54	0.445	85.828
55	0.438	86.232
56	0.422	86.586
57	0.430	86.278
58	0.418	86.810
59	0.413	86.924
60	0.406	87.348
61	0.384	87.882
62	0.415	86.768
63	0.412	86.896
64	0.388	87.690
65	0.391	87.624
66	0.385	87.922
67	0.403	87.256
68	0.381	87.960
69	0.382	88.006
70	0.162	95.420
71	0.073	98.362
72	0.057	98.794
73	0.045	99.162
74	0.039	99.340
75	0.034	99.484
76	0.030	99.528
77	0.028	99.604
78	0.025	99.682
79	0.023	99.730
80	0.023	99.712
81	0.020	99.802
82	0.020	99.810
83	0.019	99.808
84	0.018	99.838
85	0.017	99.862
86	0.017	99.820
87	0.016	99.848
88	0.016	99.844
89	0.016	99.894
90	0.015	99.886
91	0.015	99.866
92	0.013	99.918
93	0.013	99.924
94	0.014	99.906
95	0.013	99.894
96	0.013	99.908
97	0.013	99.930
98	0.013	99.918
99	0.012	99.926
100	0.012	99.946
101	0.012	99.906
102	0.012	99.922
103	0.012	99.942
104	0.012	99.934
105	0.011	99.942
106	0.011	99.930
107	0.011	99.940
108	0.011	99.948
109	0.011	99.950
110	0.011	99.946
111	0.011	99.958
112	0.011	99.934
113	0.011	99.950
114	0.010	99.954
115	0.011	99.938
116	0.011	99.922
117	0.010	99.948
118	0.010	99.958
119	0.010	99.948
120	0.010	99.964
121	0.010	99.960
122	0.010	99.952
123	0.010	99.962
124	0.010	99.954
125	0.009	99.968
126	0.010	99.946
127	0.010	99.952
128	0.010	99.962
129	0.010	99.962
130	0.010	99.946
131	0.010	99.950
132	0.009	99.970
133	0.009	99.942
134	0.009	99.950
135	0.009	99.954
136	0.009	99.950
137	0.009	99.968
138	0.009	99.956
139	0.009	99.950
140	0.009	99.970
141	0.008	99.980
142	0.009	99.962
143	0.008	99.974
144	0.009	99.966
145	0.008	99.972
146	0.008	99.970
147	0.008	99.976
148	0.008	99.970
149	0.008	99.976
