0	3.912	10.398
1	3.312	19.788
2	2.896	27.164
3	2.557	33.864
4	2.262	39.920
5	2.023	45.010
6	1.834	49.544
7	1.675	53.250
8	1.548	56.304
9	1.447	58.786
10	1.336	61.460
11	1.252	63.472
12	1.181	65.480
13	1.112	67.288
14	1.058	68.770
15	1.002	70.296
16	0.946	71.642
17	0.916	72.464
18	0.886	73.490
19	0.847	74.328
20	0.809	75.278
21	0.776	76.254
22	0.759	76.696
23	0.740	77.322
24	0.721	77.684
25	0.706	78.290
26	0.683	78.872
27	0.658	79.584
28	0.649	79.864
29	0.628	80.472
30	0.359	89.242
31	0.233	93.316
32	0.191	94.614
33	0.164	95.556
34	0.146	96.080
35	0.127	96.720
36	0.114	97.018
37	0.103	97.446
38	0.095	97.576
39	0.085	98.038
40	0.077	98.202
41	0.071	98.440
42	0.065	98.596
43	0.059	98.870
44	0.054	98.988
45	0.051	99.050
46	0.046	99.182
47	0.043	99.274
48	0.040	99.348
49	0.037	99.446
50	0.034	99.496
51	0.032	99.560
52	0.032	99.506
53	0.030	99.580
54	0.028	99.614
55	0.027	99.702
56	0.025	99.704
57	0.024	99.756
58	0.023	99.766
59	0.023	99.752
60	0.020	99.808
61	0.019	99.846
62	0.018	99.830
63	0.018	99.848
64	0.018	99.826
65	0.018	99.868
66	0.017	99.884
67	0.017	99.860
68	0.017	99.838
69	0.017	99.866
70	0.017	99.862
71	0.017	99.866
72	0.017	99.872
73	0.016	99.894
74	0.016	99.894
75	0.016	99.880
76	0.016	99.868
77	0.016	99.888
78	0.016	99.858
79	0.016	99.874
80	0.015	99.900
81	0.016	99.870
82	0.015	99.908
83	0.016	99.896
84	0.015	99.884
85	0.015	99.914
86	0.015	99.896
87	0.015	99.868
88	0.015	99.914
89	0.015	99.908
90	0.015	99.908
91	0.015	99.912
92	0.015	99.860
93	0.015	99.914
94	0.015	99.898
95	0.015	99.918
96	0.015	99.888
97	0.015	99.896
98	0.015	99.890
99	0.015	99.894
100	0.015	99.892
101	0.015	99.914
102	0.014	99.916
103	0.015	99.914
104	0.015	99.894
105	0.015	99.910
106	0.015	99.918
107	0.015	99.898
108	0.015	99.908
109	0.015	99.908
110	0.015	99.918
111	0.014	99.910
112	0.014	99.932
113	0.015	99.912
114	0.014	99.912
115	0.014	99.910
116	0.015	99.912
117	0.015	99.930
118	0.014	99.920
119	0.014	99.902
120	0.014	99.926
121	0.015	99.894
122	0.014	99.904
123	0.015	99.920
124	0.015	99.922
125	0.015	99.900
126	0.015	99.908
127	0.014	99.916
128	0.014	99.906
129	0.015	99.912
130	0.015	99.892
131	0.014	99.918
132	0.014	99.918
133	0.015	99.898
134	0.014	99.900
135	0.014	99.926
136	0.015	99.902
137	0.015	99.900
138	0.014	99.914
139	0.014	99.912
140	0.015	99.922
141	0.014	99.914
142	0.014	99.914
143	0.015	99.910
144	0.014	99.920
145	0.015	99.914
146	0.014	99.904
147	0.015	99.890
148	0.014	99.904
149	0.014	99.910
